# Source: KKBox WSDM Churn Prediction Challenge
fold,scorer,period_start,precision
3,logistic,2016-10-18,0.08
3,logistic,2016-10-25,0.24
3,logistic,2016-11-01,0.1
3,logistic,2016-11-08,0.12
3,logistic,2016-11-15,0.06
3,logistic,2016-11-22,0.18
3,logistic,2016-11-29,0.16
3,logistic,2016-12-06,0.12
3,logistic,2016-12-13,0.12
3,logistic,2016-12-20,0.16
3,logistic,2016-12-27,0.14
3,logistic,2017-01-03,0.16
3,logistic,2017-01-10,0.1
3,logistic,2017-01-17,0.12
3,logistic,2017-01-24,0.1
3,logistic,2017-01-31,0.12
3,logistic,2017-02-07,0.14
3,logistic,2017-02-14,0.08
3,logistic,2017-02-21,0.1
3,logistic_tuned_finance,2016-10-11,0.14
3,logistic_tuned_finance,2016-10-18,0.04
3,logistic_tuned_finance,2016-10-25,0.28
3,logistic_tuned_finance,2016-11-01,0.06
3,logistic_tuned_finance,2016-11-08,0.04
3,logistic_tuned_finance,2016-11-15,0.1
3,logistic_tuned_finance,2016-11-22,0.18
3,logistic_tuned_finance,2016-11-29,0.12
3,logistic_tuned_finance,2016-12-06,0.1
3,logistic_tuned_finance,2016-12-13,0.1
3,logistic_tuned_finance,2016-12-20,0.18
3,logistic_tuned_finance,2016-12-27,0.14
3,logistic_tuned_finance,2017-01-03,0.1
3,logistic_tuned_finance,2017-01-10,0.12
3,logistic_tuned_finance,2017-01-17,0.16
3,logistic_tuned_finance,2017-01-24,0.06
3,logistic_tuned_finance,2017-01-31,0.08
3,logistic_tuned_finance,2017-02-07,0.06
3,logistic_tuned_finance,2017-02-14,0.04
3,logistic_tuned_finance,2017-02-21,0.0
3,logistic_tuned,2016-10-11,0.08
3,logistic_tuned,2016-10-18,0.06
3,logistic_tuned,2016-10-25,0.22
3,logistic_tuned,2016-11-01,0.04
3,logistic_tuned,2016-11-08,0.06
3,logistic_tuned,2016-11-15,0.06
3,logistic_tuned,2016-11-22,0.08
3,logistic_tuned,2016-11-29,0.12
3,logistic_tuned,2016-12-06,0.06
3,logistic_tuned,2016-12-13,0.1
3,logistic_tuned,2016-12-20,0.12
3,logistic_tuned,2016-12-27,0.12
3,logistic_tuned,2017-01-03,0.1
3,logistic_tuned,2017-01-10,0.12
3,logistic_tuned,2017-01-17,0.1
3,logistic_tuned,2017-01-24,0.12
3,logistic_tuned,2017-01-31,0.08
3,logistic_tuned,2017-02-07,0.1
3,logistic_tuned,2017-02-14,0.06
3,logistic_tuned,2017-02-21,0.06
3,xgboost_finance,2016-10-11,0.32
3,xgboost_finance,2016-10-18,0.22
3,xgboost_finance,2016-10-25,0.18
3,xgboost_finance,2016-11-01,0.2
3,xgboost_finance,2016-11-08,0.2
3,xgboost_finance,2016-11-15,0.2
3,xgboost_finance,2016-11-22,0.24
3,xgboost_finance,2016-11-29,0.3
3,xgboost_finance,2016-12-06,0.24
3,xgboost_finance,2016-12-13,0.26
3,xgboost_finance,2016-12-20,0.36
3,xgboost_finance,2016-12-27,0.32
3,xgboost_finance,2017-01-03,0.38
3,xgboost_finance,2017-01-10,0.38
3,xgboost_finance,2017-01-17,0.32
3,xgboost_finance,2017-01-24,0.36
3,xgboost_finance,2017-01-31,0.34
3,xgboost_finance,2017-02-07,0.4
3,xgboost_finance,2017-02-14,0.38
3,xgboost_finance,2017-02-21,0.38
3,xgboost,2016-10-11,0.34
3,xgboost,2016-10-18,0.2
3,xgboost,2016-10-25,0.24
3,xgboost,2016-11-01,0.26
3,xgboost,2016-11-08,0.24
3,xgboost,2016-11-15,0.26
3,xgboost,2016-11-22,0.26
3,xgboost,2016-11-29,0.26
3,xgboost,2016-12-06,0.26
3,xgboost,2016-12-13,0.26
3,xgboost,2016-12-20,0.4
3,xgboost,2016-12-27,0.4
3,xgboost,2017-01-03,0.38
3,xgboost,2017-01-10,0.34
3,xgboost,2017-01-17,0.34
3,xgboost,2017-01-24,0.42
3,xgboost,2017-01-31,0.42
3,xgboost,2017-02-07,0.42
3,xgboost,2017-02-14,0.46
3,xgboost,2017-02-21,0.46
